Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-02-14,ETH,1828.0926556783,1817.9708255067,1851.5335830585,1787.8350569117
2021-02-15,ETH,1787.1229409878,1803.0805254581,1835.8135476457,1664.8394755679
2021-02-16,ETH,1763.7516712651,1779.9199791489,1827.0446000358,1727.548555444
2021-02-17,ETH,1835.9914626743,1783.3536180109,1856.1865263106,1736.902292684
2021-02-18,ETH,1936.7152857294,1850.4700031321,1950.6923854875,1850.3722706313
2021-02-19,ETH,1958.7391904297,1940.3453753546,1973.5434860951,1893.209005501
2021-02-20,ETH,1855.2648413078,1956.1093530953,2036.5546878264,1812.1297581179
2021-02-21,ETH,1913.8002838917,1915.1484047963,1976.0016374911,1885.5584368965
2021-02-22,ETH,1782.1495911944,1934.5909578061,1937.027622115,1546.5312073478
2021-02-23,ETH,1546.6229610737,1778.3928145485,1781.7648769693,1361.5913116192
2021-02-24,ETH,1589.2668006007,1578.2292612042,1715.1315873978,1501.4692901281
2021-02-25,ETH,1524.1806061529,1625.7187678613,1672.5992935701,1500.9203360234
2021-02-26,ETH,1435.7244181925,1483.1639414019,1563.2639513907,1402.7606643416
2021-02-27,ETH,1495.812837494,1445.3511513752,1527.5463555583,1439.9360611903
2021-02-28,ETH,1412.7131887857,1461.1072374866,1470.8625141182,1303.3305059859
2021-03-01,ETH,1555.8447802536,1421.7298613257,1565.393172148,1412.9352310188
2021-03-02,ETH,1483.9120430764,1571.0823653533,1603.538082805,1458.2079512593
2021-03-03,ETH,1593.87899763,1489.5160971805,1653.203487787,1478.7910368521
2021-03-04,ETH,1528.5683097828,1569.9435700836,1624.9801986556,1508.2879121075
2021-03-05,ETH,1543.5683862909,1540.3625483969,1549.1366228473,1444.9536646875
2021-03-06,ETH,1658.8123184002,1529.8408551208,1668.8612654724,1514.7848597658
2021-03-07,ETH,1681.9917947622,1650.9386921003,1695.2060773322,1631.8423418294
2021-03-08,ETH,1782.4868586483,1726.4259762108,1795.3772728454,1668.5448702225
2021-03-09,ETH,1834.6652773466,1833.0535704937,1857.9494561355,1802.1171972382
