Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-05-23,142.4317795999,169.5830289159,176.4415011875,118.4738103123
LTC,2021-05-24,175.682016545,142.6871313718,183.2671338409,140.2323564394
LTC,2021-05-25,179.4774896494,185.5568889831,193.9681036949,167.5908568679
LTC,2021-05-26,194.101339101,184.006891277,204.4578554566,179.8957615106
LTC,2021-05-27,194.8911979371,199.2417430901,208.7614086556,180.8658157697
LTC,2021-05-28,172.645255994,194.3092905376,198.9403294634,166.4655387021
LTC,2021-05-29,163.0542855748,177.457602247,188.7332963487,157.9119528821
LTC,2021-05-30,171.0756746404,164.1479268942,181.1967310158,155.5407407096
LTC,2021-05-31,184.5739447916,170.6826302589,186.9763720892,163.8136913023
LTC,2021-06-01,181.9709062156,188.0653136151,192.7956110377,176.0676019385
LTC,2021-06-02,185.2252079442,182.9543251981,191.2765811132,178.4139242565
LTC,2021-06-03,191.5658145074,187.2252902516,197.6482878049,182.1175135945
LTC,2021-06-04,180.7192800815,193.5344250159,193.7879149905,169.3052680232
LTC,2021-06-05,170.0332115077,178.6964560784,185.6909408438,168.3736627838
LTC,2021-06-06,173.5099125196,173.1264592614,180.0894013873,172.3877966353
LTC,2021-06-07,164.532482007,176.4527335664,182.3194100452,162.2404495292
LTC,2021-06-08,161.1931394234,162.0368144282,164.5381843481,145.14678512
LTC,2021-06-09,171.4899979485,160.788747219,173.2268569959,152.5987098862
LTC,2021-06-10,168.5589071109,172.5290042156,174.6758977486,162.2948234826
LTC,2021-06-11,162.9725567369,168.176297644,173.7861255625,160.7015549119
LTC,2021-06-12,162.3359997763,162.8333189517,164.3037418027,154.7496438294
LTC,2021-06-13,171.3205275647,161.8913877379,171.4409722097,156.7211360099
LTC,2021-06-14,175.1402458526,170.8795008109,177.9442013042,166.3940225019
LTC,2021-06-15,175.6365590176,179.9611405747,181.1535691125,172.2756890176
LTC,2021-06-16,167.0620870816,175.2052979987,177.2803588803,164.5383550385
LTC,2021-06-17,165.0182246786,166.5434625027,173.3913251738,163.0491918582
LTC,2021-06-18,155.4870903315,167.1328500417,167.236148646,152.1108322342
LTC,2021-06-19,153.8844149675,156.4742303739,160.9058869174,153.7301046012
LTC,2021-06-20,155.7770067963,152.6731476575,156.1191241824,143.9740990035
LTC,2021-06-21,126.8254170594,154.8712367629,155.4377716536,126.3033893937
LTC,2021-06-22,119.4648907966,124.4956663328,133.0042373006,105.9086904895
LTC,2021-06-23,127.2515818475,119.7615075829,133.6571997621,115.5931198655
LTC,2021-06-24,134.0884929974,129.0945170873,137.318405503,123.8304442621
LTC,2021-06-25,125.940906914,134.5264127474,138.3954508853,125.1065731274
LTC,2021-06-26,124.3487343301,125.1063989475,129.4098883799,119.1911889251
LTC,2021-06-27,130.9003347173,126.8822493803,131.1119988725,124.753020998
LTC,2021-06-28,137.6539208202,132.6045747399,138.9427341269,130.0577581276
LTC,2021-06-29,144.6617865079,137.6241966953,148.9495964581,137.334195133
LTC,2021-06-30,143.6963019857,144.1502337868,146.826423561,136.1683360215
LTC,2021-07-01,138.0838991213,144.2552284987,144.2879282137,134.2786062979
LTC,2021-07-02,135.0963160526,137.1492572985,138.8995512596,130.6728550032
LTC,2021-07-03,138.4962935611,136.8634465232,141.3049913921,134.9224200035
LTC,2021-07-04,146.4013334929,140.1290401968,147.9360709784,136.8829413207
LTC,2021-07-05,139.9961597438,144.8445507509,144.9323599358,134.8283045015
LTC,2021-07-06,138.093300147,137.7804672103,142.6535920223,135.7490928667
LTC,2021-07-07,138.4749433238,138.8349838327,142.8470295498,136.9797772233
LTC,2021-07-08,130.2115198159,137.4063888206,137.7170998155,127.9721652911
LTC,2021-07-09,135.3386574846,132.1281926938,135.7684723915,126.1151188135
LTC,2021-07-10,133.5876948957,134.5242735018,136.750303386,130.3577017048
LTC,2021-07-11,134.5131586489,133.9394404621,136.3799568541,132.0973568519
LTC,2021-07-12,133.2633464591,134.1797503005,139.6172103066,131.8645059957
LTC,2021-07-13,130.6213565041,133.3432098834,134.3592604365,129.6399542922
LTC,2021-07-14,131.7293254741,131.3968774022,132.3376530888,123.9138730225
LTC,2021-07-15,125.6411403114,131.054212823,133.0227683473,122.0700199909
LTC,2021-07-16,122.5395206087,125.7562345833,127.7667152161,120.4838002953
LTC,2021-07-17,120.4526522243,120.682260879,122.8675561328,117.8031348868
LTC,2021-07-18,118.3611376691,119.9854126607,123.990751322,116.4571510093
LTC,2021-07-19,114.3726563477,119.2161496354,120.4717414609,111.8165090679
LTC,2021-07-20,107.2720423616,113.1532083783,115.0422023022,104.0945875848
LTC,2021-07-21,117.109193926,107.3305617718,119.1847065419,105.1532975206
LTC,2021-07-22,119.9134321625,117.7018754891,122.0813896233,115.7385902847
LTC,2021-07-23,122.2690718521,120.7071846181,122.3394516991,117.1342868234
LTC,2021-07-24,124.6373597312,124.2900130899,127.4807134588,123.4355966334
