Date,Closing Price (USD)
2021-04-26,242.5863586142
2021-04-27,259.2107798086
2021-04-28,257.7763270258
2021-04-29,254.3849819028
2021-04-30,269.800891908
2021-05-01,272.8336635632
2021-05-02,267.7607302694
2021-05-03,293.921341869
2021-05-04,304.1684699473
2021-05-05,352.9512389442
2021-05-06,343.8440604031
2021-05-07,334.7331683256
2021-05-08,350.0846042199
2021-05-09,382.9941668551
2021-05-10,367.1044351921
2021-05-11,371.6897854468
2021-05-12,337.1571595178
2021-05-13,312.4601827458
2021-05-14,327.4277230071
2021-05-15,305.4737878299
2021-05-16,290.5481301025
2021-05-17,276.3768324824
2021-05-18,298.8880490266
2021-05-19,207.5122471424
2021-05-20,204.9770602682
2021-05-21,176.5757247188
2021-05-22,171.4895334009
2021-05-23,142.4317795999
2021-05-24,175.682016545
2021-05-25,179.4774896494
2021-05-26,194.101339101
2021-05-27,194.8911979371
2021-05-28,172.645255994
2021-05-29,163.0542855748
2021-05-30,171.0756746404
2021-05-31,184.5739447916
2021-06-01,181.9709062156
2021-06-02,185.2252079442
2021-06-03,191.5658145074
2021-06-04,180.7192800815
2021-06-05,170.0332115077
2021-06-06,173.5099125196
2021-06-07,164.532482007
2021-06-08,161.1931394234
2021-06-09,171.4899979485
2021-06-10,168.5589071109
2021-06-11,162.9725567369
2021-06-12,162.3359997763
2021-06-13,171.3205275647
2021-06-14,175.1402458526
2021-06-15,175.6365590176
2021-06-16,167.0620870816
2021-06-17,165.0182246786
2021-06-18,155.4870903315
2021-06-19,153.8844149675
2021-06-20,155.7770067963
2021-06-21,126.8254170594
2021-06-22,119.4648907966
2021-06-23,127.2515818475
2021-06-24,134.0884929974
2021-06-25,125.940906914
2021-06-26,124.3487343301
2021-06-27,130.9003347173
2021-06-28,137.6539208202
2021-06-29,144.6617865079
2021-06-30,143.6963019857
2021-07-01,138.0838991213
2021-07-02,135.0963160526
2021-07-03,138.4962935611
2021-07-04,146.4013334929
2021-07-05,139.9961597438
2021-07-06,138.093300147
2021-07-07,138.4749433238
2021-07-08,130.2115198159
2021-07-09,135.3386574846
2021-07-10,133.5876948957
2021-07-11,134.5131586489
2021-07-12,133.2633464591
2021-07-13,130.6213565041
2021-07-14,131.7293254741
2021-07-15,125.6411403114
2021-07-16,122.5395206087
2021-07-17,120.4526522243
2021-07-18,118.3611376691
2021-07-19,114.3726563477
2021-07-20,107.2720423616
2021-07-21,117.109193926
2021-07-22,119.9134321625
2021-07-23,122.2690718521
2021-07-24,124.6373597312
